tamano_array,tamano_array_en_miles,tiempo_de_ejecucion
0,0,0.000002
5000,5,0.000668
10000,10,0.001372
15000,15,0.002074
20000,20,0.002759
25000,25,0.003564
30000,30,0.004169
35000,35,0.005005
40000,40,0.005542
45000,45,0.006244
50000,50,0.007026
55000,55,0.007663
60000,60,0.008170
65000,65,0.009161
70000,70,0.009771
75000,75,0.010246
80000,80,0.011103
85000,85,0.011545
90000,90,0.012535
95000,95,0.012866
100000,100,0.013887
