tamano_array,tamano_array_en_miles,tiempo_de_ejecucion
0,0,0.000001
5000,5,0.000621
10000,10,0.001732
15000,15,0.003132
20000,20,0.002613
25000,25,0.003101
30000,30,0.003611
35000,35,0.007671
40000,40,0.004756
45000,45,0.005519
50000,50,0.006008
55000,55,0.006929
60000,60,0.007623
65000,65,0.007881
70000,70,0.008194
75000,75,0.009160
80000,80,0.009715
85000,85,0.011269
90000,90,0.010421
95000,95,0.011771
100000,100,0.011930
